age;job;marital;education;default;housing;loan
42;blue-collar;single;secondary;no;no;no
45;technician;married;tertiary;no;yes;no
41;blue-collar;married;primary;no;no;no
45;housemaid;married;secondary;no;no;yes
43;admin.;single;unknown;no;no;no
27;blue-collar;married;secondary;no;yes;no
45;admin.;single;secondary;no;yes;no
44;technician;single;primary;no;no;no
42;management;divorced;secondary;yes;yes;no
47;unemployed;divorced;secondary;no;no;no
37;unknown;married;secondary;no;no;no
39;blue-collar;married;primary;no;yes;no
45;technician;married;primary;no;no;no
39;blue-collar;married;primary;no;no;no
25;blue-collar;single;secondary;no;yes;no
38;blue-collar;divorced;secondary;no;yes;no
34;technician;single;secondary;no;yes;no
41;housemaid;single;secondary;no;no;no
57;retired;married;secondary;no;no;no
49;management;divorced;tertiary;no;no;no
46;entrepreneur;married;tertiary;no;no;no
49;blue-collar;married;primary;no;yes;no
58;entrepreneur;married;unknown;no;no;no
50;housemaid;married;primary;no;no;no
43;technician;divorced;secondary;no;no;no
41;admin.;married;secondary;no;no;no
37;blue-collar;married;secondary;no;yes;no
53;blue-collar;married;secondary;no;no;no
45;entrepreneur;married;tertiary;no;yes;no
43;blue-collar;married;unknown;no;no;yes
37;entrepreneur;married;tertiary;no;no;no
56;technician;married;tertiary;no;no;no
50;unemployed;married;secondary;no;no;no
59;retired;divorced;secondary;no;no;no
53;unemployed;divorced;secondary;no;no;no
36;student;married;tertiary;no;no;no
36;unemployed;single;primary;no;no;no
41;technician;divorced;unknown;no;no;no
56;management;divorced;tertiary;yes;no;no
39;technician;single;tertiary;no;no;no
50;management;married;tertiary;no;no;no
50;blue-collar;married;primary;no;yes;no
50;retired;married;primary;no;no;no
38;blue-collar;single;secondary;no;no;no
46;housemaid;married;primary;no;no;no
57;admin.;divorced;unknown;no;no;no
57;management;married;secondary;no;no;no
52;blue-collar;married;secondary;no;yes;no
49;blue-collar;divorced;primary;no;no;no
57;unknown;married;unknown;no;no;no
35;admin.;single;secondary;no;no;no
50;blue-collar;married;primary;no;yes;no
56;unemployed;divorced;primary;no;no;no
54;blue-collar;married;primary;no;no;no
39;housemaid;married;primary;no;no;no
60;retired;married;tertiary;no;no;no
28;blue-collar;married;primary;no;yes;no
45;blue-collar;married;primary;no;no;no
52;blue-collar;married;primary;no;no;no
56;technician;married;tertiary;no;no;no
37;technician;married;secondary;no;no;no
30;management;married;tertiary;no;yes;yes
41;management;married;secondary;no;no;no
51;admin.;married;secondary;no;no;yes
59;retired;married;primary;no;no;yes
39;management;single;tertiary;no;no;no
56;services;married;secondary;no;yes;no
41;entrepreneur;married;tertiary;no;yes;yes
50;management;married;tertiary;no;no;yes
57;entrepreneur;married;tertiary;no;yes;yes
36;self-employed;single;secondary;no;yes;yes
38;management;married;tertiary;no;no;yes
32;blue-collar;married;secondary;no;yes;yes
58;technician;married;primary;no;no;no
38;self-employed;married;secondary;no;no;no
48;self-employed;divorced;secondary;yes;no;no
42;entrepreneur;married;secondary;no;no;no
56;blue-collar;married;secondary;no;yes;no
40;housemaid;married;primary;no;no;no
56;blue-collar;married;primary;no;yes;no
60;housemaid;divorced;tertiary;no;no;no
36;management;married;secondary;no;yes;no
37;blue-collar;single;secondary;no;no;no
46;technician;single;secondary;no;yes;no
59;blue-collar;married;secondary;no;yes;yes
43;unemployed;married;primary;no;no;no
46;blue-collar;married;primary;no;no;yes
39;entrepreneur;married;secondary;no;no;no
56;entrepreneur;divorced;primary;no;no;no
43;blue-collar;married;primary;no;yes;no
51;retired;married;secondary;no;no;no
46;technician;married;secondary;no;no;no
55;technician;married;secondary;no;yes;yes
58;technician;married;secondary;no;no;no
60;retired;married;secondary;no;no;no
53;unemployed;married;secondary;no;yes;no
53;technician;married;secondary;no;yes;yes
38;blue-collar;married;primary;no;no;no
48;management;married;tertiary;no;yes;no
50;technician;divorced;tertiary;no;no;no
35;self-employed;single;secondary;no;no;no
45;blue-collar;single;primary;no;no;no
38;technician;married;secondary;no;yes;no
49;technician;single;unknown;no;no;no
35;housemaid;divorced;primary;no;no;no
57;management;married;unknown;no;no;no
47;technician;divorced;tertiary;no;no;no
40;unemployed;married;tertiary;no;yes;no
44;services;married;secondary;no;no;yes
53;blue-collar;married;secondary;no;yes;no
59;unemployed;married;tertiary;no;no;no
55;housemaid;divorced;primary;no;no;no
56;retired;single;secondary;no;no;no
45;blue-collar;married;unknown;no;no;yes
31;blue-collar;married;primary;no;yes;no
49;blue-collar;married;primary;no;yes;no
42;technician;married;secondary;no;no;no
45;housemaid;married;primary;no;no;no
26;blue-collar;single;secondary;no;yes;no
40;entrepreneur;divorced;tertiary;no;no;no
46;services;married;secondary;no;yes;yes
52;housemaid;divorced;primary;no;no;no
52;retired;married;tertiary;no;no;no
50;technician;divorced;secondary;no;no;no
42;unemployed;married;secondary;no;yes;no
54;blue-collar;married;primary;no;yes;no
48;entrepreneur;divorced;tertiary;no;yes;yes
57;technician;married;secondary;no;yes;no
43;management;married;unknown;no;no;no
44;management;married;secondary;no;yes;no
43;unknown;married;unknown;no;no;no
52;management;married;tertiary;no;no;no
43;management;single;primary;no;no;no
35;admin.;married;secondary;no;no;yes
51;blue-collar;married;secondary;yes;no;yes
42;unknown;single;unknown;yes;no;no
44;services;married;secondary;no;no;no
56;management;divorced;tertiary;no;no;no
42;self-employed;married;primary;no;no;no
38;management;married;unknown;no;no;no
35;self-employed;married;secondary;no;no;no
41;technician;divorced;tertiary;no;no;yes
47;self-employed;married;tertiary;no;no;no
44;services;single;secondary;no;no;no
50;admin.;married;unknown;no;yes;yes
54;services;married;unknown;no;no;yes
38;unemployed;married;secondary;no;no;no
43;admin.;married;secondary;no;no;no
39;self-employed;single;secondary;no;yes;no
43;blue-collar;divorced;unknown;yes;no;no
58;retired;married;secondary;no;no;no
44;blue-collar;married;primary;yes;no;yes
57;unemployed;married;secondary;no;yes;no
57;technician;married;secondary;no;no;no
40;services;married;secondary;no;yes;no
44;services;married;secondary;no;yes;no
44;blue-collar;single;primary;no;no;no
40;technician;married;secondary;no;no;no
54;self-employed;married;primary;no;no;no
40;self-employed;divorced;secondary;no;no;yes
56;management;married;tertiary;no;no;yes
37;unemployed;married;secondary;no;no;no
57;admin.;married;tertiary;no;no;no
50;admin.;divorced;secondary;no;yes;no
57;management;married;tertiary;no;no;yes
30;blue-collar;divorced;secondary;yes;yes;no
43;services;single;tertiary;no;yes;no
46;blue-collar;divorced;primary;no;no;no
41;admin.;married;secondary;no;no;no
43;entrepreneur;married;secondary;no;yes;no
49;blue-collar;married;primary;no;no;no
36;management;married;tertiary;no;yes;no
55;retired;married;secondary;no;no;no
41;blue-collar;married;secondary;no;no;no
38;blue-collar;married;secondary;no;no;no
35;blue-collar;married;primary;no;yes;no
55;services;divorced;secondary;no;no;no
47;services;divorced;secondary;no;no;no
52;management;married;tertiary;no;no;no
41;blue-collar;single;primary;no;no;no
36;blue-collar;married;secondary;no;no;no
56;retired;married;secondary;no;no;no
53;services;divorced;secondary;no;no;no
57;retired;married;primary;no;no;no
56;management;married;secondary;no;no;no
44;management;married;tertiary;no;no;no
40;management;married;secondary;no;yes;no
41;technician;married;tertiary;no;no;no
47;self-employed;married;primary;no;no;no
36;self-employed;single;tertiary;no;no;no
45;blue-collar;married;primary;no;no;yes
57;technician;married;tertiary;no;no;yes
48;management;married;secondary;no;no;no
56;blue-collar;married;unknown;no;yes;no
46;housemaid;married;primary;no;yes;no
56;unknown;married;unknown;no;no;no
27;admin.;married;secondary;no;yes;no
38;management;married;tertiary;no;yes;no
60;technician;married;secondary;no;no;no
25;blue-collar;married;secondary;no;yes;no
37;blue-collar;married;secondary;no;yes;no
41;management;married;secondary;yes;no;yes
42;technician;married;tertiary;no;no;no
56;self-employed;married;secondary;no;no;yes
47;technician;married;secondary;no;yes;no
28;services;married;secondary;no;yes;no
49;management;divorced;tertiary;no;yes;no
56;retired;married;secondary;no;no;no
51;management;married;tertiary;no;no;yes
60;blue-collar;married;secondary;no;no;no
50;housemaid;married;primary;no;no;no
36;blue-collar;single;secondary;no;no;no
52;blue-collar;married;secondary;no;no;yes
51;retired;married;secondary;no;no;yes
43;admin.;married;secondary;no;yes;no
20;student;single;secondary;no;yes;no
36;blue-collar;married;primary;no;no;no
47;services;married;secondary;no;no;no
39;admin.;single;secondary;no;yes;no
53;retired;married;primary;no;no;no
38;technician;divorced;tertiary;no;no;no
29;blue-collar;single;secondary;no;yes;no
60;unknown;married;primary;no;no;no
43;admin.;married;secondary;no;no;no
47;technician;married;tertiary;no;no;yes
55;housemaid;married;primary;no;no;no
42;admin.;married;secondary;yes;no;no
39;technician;divorced;secondary;no;no;no
51;unemployed;married;secondary;no;yes;yes
57;management;married;tertiary;no;yes;yes
39;entrepreneur;divorced;tertiary;yes;no;no
60;entrepreneur;married;secondary;no;no;no
47;self-employed;married;secondary;no;no;no
57;admin.;married;unknown;no;no;no
37;self-employed;married;secondary;no;yes;no
40;blue-collar;married;primary;no;no;no
38;services;married;secondary;no;no;no
41;blue-collar;married;secondary;no;yes;no
36;housemaid;single;primary;no;no;no
47;management;married;tertiary;no;yes;yes
56;blue-collar;married;secondary;no;yes;yes
46;blue-collar;married;secondary;no;yes;no
40;blue-collar;married;secondary;no;yes;yes
36;management;divorced;tertiary;no;no;no
44;technician;married;secondary;no;no;no
59;management;married;secondary;no;no;no
54;services;married;secondary;no;no;yes
41;self-employed;divorced;tertiary;no;no;no
38;blue-collar;single;tertiary;no;yes;no
45;blue-collar;married;primary;no;no;no
34;blue-collar;married;secondary;no;yes;no
39;blue-collar;divorced;primary;no;yes;no
37;management;married;tertiary;no;no;no
38;student;single;unknown;no;no;no
56;housemaid;married;primary;no;no;no
39;housemaid;divorced;secondary;yes;no;no
44;management;divorced;tertiary;no;yes;no
38;blue-collar;married;primary;no;yes;no
47;admin.;married;secondary;yes;no;yes
36;technician;married;secondary;no;yes;no
32;admin.;single;secondary;no;yes;no
55;unknown;married;primary;no;no;no
42;unemployed;married;secondary;no;no;yes
49;blue-collar;married;primary;no;yes;no
52;self-employed;married;primary;no;yes;yes
31;blue-collar;married;secondary;no;yes;no
48;blue-collar;married;secondary;no;no;no
50;blue-collar;divorced;unknown;no;yes;no
43;management;married;tertiary;no;no;no
30;admin.;married;secondary;no;yes;no
45;management;married;tertiary;no;yes;yes
42;blue-collar;married;primary;no;yes;no
39;blue-collar;married;primary;no;no;no
43;blue-collar;married;primary;no;no;yes
37;services;married;secondary;no;no;no
36;blue-collar;single;primary;no;yes;no
37;technician;married;secondary;no;no;no
36;blue-collar;single;primary;no;no;no
59;retired;divorced;secondary;no;no;no
35;self-employed;married;secondary;no;no;no
54;housemaid;divorced;tertiary;no;no;no
54;self-employed;divorced;tertiary;no;no;no
37;blue-collar;single;secondary;no;no;no
56;blue-collar;married;primary;no;no;no
45;admin.;married;unknown;no;no;no
58;retired;married;primary;no;no;no
39;blue-collar;married;secondary;no;yes;no
38;management;divorced;tertiary;no;yes;no
45;unemployed;divorced;secondary;no;no;no
42;blue-collar;married;secondary;no;no;no
37;blue-collar;married;primary;no;yes;no
39;unemployed;married;secondary;no;no;no
46;management;married;secondary;no;no;no
52;technician;married;secondary;no;yes;no
42;management;divorced;tertiary;no;no;no
39;self-employed;single;unknown;no;no;no
47;services;married;secondary;no;no;no
24;technician;single;primary;no;yes;no
52;services;married;primary;no;no;no
38;technician;single;tertiary;no;no;no
34;blue-collar;married;primary;no;yes;yes
29;admin.;single;secondary;no;yes;no
49;technician;divorced;secondary;no;yes;no
37;housemaid;married;unknown;no;no;no
53;technician;married;unknown;no;yes;no
56;blue-collar;divorced;primary;no;no;no
47;management;married;tertiary;no;no;no
48;management;divorced;tertiary;no;no;no
33;blue-collar;single;secondary;no;yes;no
40;services;married;primary;no;no;no
47;technician;married;secondary;no;no;no
38;blue-collar;single;secondary;no;no;no
44;management;married;tertiary;no;yes;no
38;technician;single;secondary;no;no;yes
42;services;single;unknown;no;no;no
46;management;married;tertiary;no;yes;no
31;blue-collar;single;unknown;no;yes;no
36;services;single;secondary;no;no;no
51;management;married;tertiary;no;yes;no
41;blue-collar;divorced;primary;no;no;no
51;services;married;secondary;no;yes;no
35;unemployed;divorced;primary;no;no;no
50;technician;married;secondary;no;yes;no
53;entrepreneur;married;tertiary;no;no;no
55;technician;single;secondary;no;no;no
48;technician;married;secondary;no;no;no
57;technician;divorced;secondary;no;no;no
48;blue-collar;divorced;primary;no;no;no
41;technician;married;secondary;no;no;no
42;management;single;tertiary;no;yes;no
24;unemployed;single;tertiary;no;yes;no
52;blue-collar;married;primary;no;yes;yes
53;blue-collar;married;secondary;no;yes;no
47;management;divorced;tertiary;no;no;no
36;blue-collar;divorced;secondary;no;no;no
53;blue-collar;married;primary;no;yes;no
37;services;married;secondary;no;no;no
60;retired;divorced;tertiary;no;no;no
51;technician;married;primary;no;no;no
47;admin.;married;tertiary;no;no;no
47;management;married;tertiary;no;yes;no
52;admin.;married;primary;no;no;no
36;admin.;divorced;secondary;no;yes;no
52;retired;divorced;secondary;no;no;no
38;blue-collar;married;primary;no;yes;yes
51;housemaid;married;secondary;no;no;no
48;blue-collar;married;primary;no;yes;no
37;management;single;unknown;no;yes;no
43;blue-collar;married;secondary;no;yes;no
56;entrepreneur;married;unknown;no;no;no
42;self-employed;married;tertiary;no;yes;yes
52;management;divorced;tertiary;no;yes;no
43;self-employed;married;tertiary;no;no;no
37;blue-collar;married;primary;no;yes;no
43;blue-collar;married;primary;no;yes;no
36;admin.;married;secondary;no;no;no
33;unknown;married;tertiary;no;yes;no
29;technician;single;secondary;no;yes;yes
38;management;married;tertiary;no;no;no
42;housemaid;divorced;secondary;no;no;no
46;services;divorced;secondary;no;no;no
40;admin.;married;secondary;no;no;no
41;housemaid;married;primary;no;yes;yes
43;admin.;single;secondary;no;yes;yes
37;blue-collar;single;tertiary;no;no;no
45;services;divorced;primary;no;yes;no
52;entrepreneur;single;unknown;no;no;no
44;entrepreneur;divorced;secondary;no;no;no
49;services;divorced;secondary;no;no;no
38;management;married;tertiary;no;no;no
38;blue-collar;married;secondary;no;yes;yes
46;services;divorced;unknown;no;no;no
51;admin.;married;tertiary;no;no;no
45;management;married;secondary;no;no;no
41;management;married;tertiary;no;no;no
46;management;married;tertiary;no;no;no
52;blue-collar;single;primary;no;no;no
57;blue-collar;married;primary;no;no;yes
50;technician;married;secondary;no;yes;yes
43;blue-collar;single;secondary;no;yes;no
43;blue-collar;married;primary;no;no;no
42;blue-collar;married;secondary;no;yes;no
55;services;single;secondary;no;no;no
47;entrepreneur;married;tertiary;no;no;no
55;retired;married;secondary;no;yes;no
38;technician;married;secondary;no;yes;no
55;management;married;tertiary;no;no;yes
53;management;married;secondary;no;yes;no
56;technician;married;unknown;no;no;no
31;admin.;single;secondary;no;yes;no
31;services;married;secondary;no;yes;no
39;housemaid;married;unknown;no;no;no
45;management;married;tertiary;no;no;no
35;services;married;secondary;no;no;no
36;blue-collar;married;secondary;no;yes;yes
39;admin.;single;secondary;no;no;no
52;services;divorced;secondary;no;yes;no
39;entrepreneur;married;tertiary;no;no;no
39;admin.;married;unknown;no;no;no
50;entrepreneur;married;primary;yes;yes;no
38;blue-collar;married;secondary;no;no;no
60;management;married;tertiary;no;no;no
59;blue-collar;married;primary;no;no;no
39;technician;married;secondary;no;yes;yes
36;admin.;single;secondary;no;yes;no
57;unknown;single;secondary;no;no;no
40;admin.;single;secondary;no;no;yes
39;services;divorced;secondary;no;yes;no
41;entrepreneur;divorced;secondary;no;yes;yes
27;blue-collar;single;primary;no;yes;no
46;technician;divorced;tertiary;no;no;no
55;admin.;divorced;secondary;no;no;no
36;management;divorced;tertiary;no;no;no
43;admin.;married;secondary;no;yes;no
54;technician;single;tertiary;no;no;no
43;admin.;married;secondary;no;no;no
60;management;married;tertiary;no;no;yes
58;services;married;secondary;no;no;no
51;management;married;tertiary;no;no;no
57;blue-collar;married;primary;no;no;no
42;admin.;single;secondary;no;no;no
51;retired;single;primary;no;no;no
55;housemaid;divorced;unknown;no;no;no
34;blue-collar;married;primary;no;yes;no
36;technician;single;secondary;no;yes;no
56;blue-collar;married;secondary;no;no;no
29;management;single;tertiary;no;yes;yes
32;management;single;tertiary;no;yes;no
32;blue-collar;married;primary;no;yes;yes
39;blue-collar;married;secondary;no;no;no
53;retired;divorced;secondary;no;no;no
35;services;married;secondary;no;yes;yes
49;technician;married;tertiary;no;no;no
36;self-employed;married;tertiary;no;yes;no
49;blue-collar;married;primary;no;no;no
47;blue-collar;married;primary;no;yes;no
45;admin.;married;unknown;no;no;no
30;technician;single;secondary;no;yes;no
43;management;married;tertiary;no;no;yes
24;management;married;secondary;no;yes;no
49;technician;divorced;secondary;no;yes;no
41;technician;single;secondary;no;yes;no
44;technician;married;secondary;no;no;no
54;retired;divorced;primary;no;no;no
41;entrepreneur;married;tertiary;no;yes;no
53;housemaid;married;primary;no;no;no
30;admin.;married;secondary;no;yes;no
40;retired;single;secondary;no;no;no
58;management;married;tertiary;no;no;no
40;blue-collar;married;primary;no;no;no
39;blue-collar;married;secondary;no;yes;no
37;admin.;married;secondary;no;yes;no
53;self-employed;divorced;secondary;no;no;no
57;retired;married;secondary;no;no;yes
60;admin.;married;secondary;no;no;no
35;management;married;tertiary;no;yes;no
44;blue-collar;married;primary;no;yes;no
58;retired;married;tertiary;no;no;no
47;blue-collar;married;secondary;no;no;no
42;blue-collar;married;primary;no;no;no
58;management;married;tertiary;no;no;no
44;admin.;married;secondary;no;no;no
49;services;married;secondary;no;no;yes
38;blue-collar;married;secondary;no;no;yes
44;student;single;unknown;no;no;no
39;admin.;divorced;secondary;no;yes;no
36;blue-collar;married;unknown;no;no;no
54;entrepreneur;married;unknown;no;no;no
59;unknown;married;unknown;no;no;no
54;blue-collar;married;secondary;no;no;no
53;retired;divorced;primary;no;no;no
47;management;married;tertiary;no;no;no
53;admin.;married;secondary;no;no;no
41;technician;married;secondary;no;no;no
39;technician;married;secondary;no;no;no
42;technician;married;secondary;no;no;no
50;management;married;tertiary;no;no;no
45;technician;married;secondary;no;yes;yes
28;management;single;secondary;no;yes;no
51;admin.;single;secondary;no;no;no
23;services;married;secondary;no;yes;no
54;management;divorced;unknown;no;no;no
45;unknown;married;secondary;no;no;no
26;student;single;secondary;no;yes;no
38;technician;single;secondary;no;yes;no
54;technician;married;secondary;no;no;yes
36;housemaid;married;primary;no;no;no
52;blue-collar;married;secondary;no;no;no
44;management;married;tertiary;no;yes;no
40;services;married;secondary;no;no;no
35;management;single;tertiary;no;no;no
43;management;single;secondary;no;no;no
52;self-employed;married;primary;no;no;yes
48;management;divorced;tertiary;no;yes;no
50;retired;divorced;secondary;no;no;no
49;unknown;married;tertiary;no;no;no
32;blue-collar;married;secondary;no;yes;no
37;entrepreneur;married;tertiary;yes;yes;yes
45;self-employed;married;secondary;no;no;no
38;services;single;secondary;no;no;no
46;blue-collar;married;secondary;no;no;no
60;blue-collar;married;primary;no;no;no
54;blue-collar;married;primary;no;no;no
56;blue-collar;married;secondary;no;no;no
45;admin.;married;secondary;no;yes;no
38;admin.;married;secondary;no;yes;no
45;services;single;secondary;no;no;no
53;management;married;tertiary;no;no;no
38;blue-collar;married;primary;no;yes;no
44;admin.;married;secondary;no;no;no
53;blue-collar;married;unknown;no;no;no
58;blue-collar;married;unknown;no;no;no
42;management;married;tertiary;no;yes;no
50;blue-collar;married;secondary;no;no;no
36;management;married;tertiary;no;no;no
42;services;married;secondary;no;no;no
50;technician;married;primary;no;no;no
41;blue-collar;single;unknown;no;no;no
51;management;married;primary;no;yes;no
53;management;single;tertiary;no;no;no
45;services;married;secondary;no;yes;no
50;services;married;secondary;no;yes;no
44;technician;divorced;unknown;no;no;no
40;management;married;tertiary;no;no;no
39;admin.;divorced;secondary;no;no;yes
46;blue-collar;married;unknown;no;no;no
42;blue-collar;married;primary;no;no;no
35;management;married;tertiary;no;no;no
40;blue-collar;married;secondary;no;yes;yes
52;technician;married;secondary;no;no;no
56;unknown;married;unknown;no;no;no
37;services;divorced;primary;yes;no;no
58;self-employed;married;primary;no;no;no
44;management;married;secondary;no;yes;no
33;admin.;married;secondary;no;yes;yes
46;management;married;tertiary;no;yes;no
39;management;married;tertiary;no;no;no
58;blue-collar;married;primary;no;no;no
29;admin.;single;tertiary;no;yes;no
53;management;married;primary;no;no;no
43;management;married;tertiary;no;yes;no
42;technician;divorced;tertiary;no;yes;no
38;services;divorced;unknown;no;no;no
56;unemployed;married;secondary;no;yes;no
41;management;married;tertiary;no;yes;no
35;blue-collar;married;primary;no;yes;yes
42;blue-collar;married;secondary;no;yes;no
56;blue-collar;married;secondary;no;no;no
47;technician;married;secondary;no;no;yes
37;services;single;primary;no;yes;no
59;housemaid;single;unknown;no;no;no
46;blue-collar;married;secondary;no;no;no
47;technician;married;tertiary;no;no;no
34;blue-collar;married;secondary;no;yes;no
35;blue-collar;single;primary;no;no;no
45;admin.;married;unknown;no;no;no
41;blue-collar;single;unknown;no;no;no
49;management;married;tertiary;no;no;no
58;technician;divorced;secondary;no;no;no
39;technician;married;tertiary;no;no;no
35;blue-collar;divorced;secondary;yes;no;yes
37;technician;single;tertiary;no;no;yes
43;management;married;primary;no;no;no
40;blue-collar;single;primary;no;no;no
40;student;married;secondary;no;no;no
50;management;married;tertiary;no;no;no
40;blue-collar;married;secondary;no;no;yes
35;management;married;tertiary;no;no;no
45;blue-collar;married;primary;no;yes;no
42;technician;married;secondary;no;no;no
44;unknown;single;unknown;no;no;no
41;student;married;secondary;no;no;no
33;blue-collar;single;secondary;no;no;no
30;admin.;married;secondary;no;no;no
26;technician;single;secondary;no;yes;no
45;management;single;tertiary;no;no;no
38;services;married;secondary;no;no;no
58;admin.;single;secondary;no;no;yes
37;services;divorced;secondary;no;no;no
25;blue-collar;single;secondary;no;yes;yes
47;unemployed;divorced;tertiary;no;no;no
52;blue-collar;married;secondary;no;no;no
36;admin.;married;tertiary;no;no;no
52;technician;divorced;secondary;no;no;no
45;technician;single;tertiary;no;yes;no
56;entrepreneur;married;unknown;no;no;no
54;unknown;married;unknown;no;no;no
35;blue-collar;married;secondary;no;yes;no
36;technician;married;tertiary;no;yes;no
48;retired;single;primary;no;no;no
40;blue-collar;married;primary;no;no;no
36;student;single;secondary;no;no;no
36;blue-collar;married;secondary;no;yes;no
51;management;single;tertiary;no;yes;no
30;management;married;tertiary;no;yes;no
40;admin.;married;secondary;no;no;yes
47;blue-collar;divorced;secondary;no;yes;no
46;management;divorced;tertiary;no;yes;no
28;blue-collar;single;secondary;no;yes;no
45;technician;married;secondary;no;yes;yes
39;technician;single;tertiary;no;no;no
56;unknown;married;unknown;no;no;no
60;blue-collar;married;primary;no;no;no
53;blue-collar;married;unknown;no;yes;no
56;retired;married;tertiary;no;no;no
51;self-employed;married;secondary;no;no;no
46;admin.;married;unknown;no;yes;no
45;blue-collar;married;secondary;no;yes;yes
39;technician;married;tertiary;no;no;no
39;technician;single;secondary;no;no;no
45;housemaid;divorced;tertiary;no;no;no
35;blue-collar;married;secondary;no;no;no
25;services;single;secondary;no;yes;no
40;unemployed;married;tertiary;no;yes;no
40;blue-collar;married;secondary;no;yes;yes
38;blue-collar;married;secondary;no;no;no
45;unemployed;married;secondary;no;no;no
47;services;married;secondary;no;no;yes
57;retired;married;secondary;no;no;yes
35;services;divorced;secondary;no;no;no
47;management;married;tertiary;no;no;no
57;retired;married;secondary;no;no;no
48;admin.;married;primary;no;no;no
42;management;married;tertiary;no;yes;no
44;blue-collar;married;primary;no;yes;no
36;blue-collar;divorced;secondary;no;yes;no
41;services;single;secondary;no;no;no
60;self-employed;married;secondary;no;no;no
49;unknown;married;secondary;no;no;no
45;self-employed;single;primary;no;no;no
36;unemployed;married;tertiary;no;no;no
29;blue-collar;married;secondary;no;yes;no
27;blue-collar;single;secondary;yes;no;no
26;admin.;single;primary;no;yes;no
26;blue-collar;married;secondary;no;yes;no
22;technician;single;secondary;no;yes;no
25;blue-collar;single;secondary;no;yes;no
29;blue-collar;single;secondary;yes;yes;no
58;unemployed;divorced;secondary;no;no;no
56;blue-collar;divorced;unknown;no;no;no
55;technician;married;secondary;no;yes;no
55;retired;divorced;primary;no;no;no
47;management;married;tertiary;no;no;no
43;management;married;tertiary;no;yes;no
46;services;married;secondary;no;no;no
48;management;single;tertiary;no;no;no
40;management;married;tertiary;yes;yes;yes
34;technician;married;secondary;no;yes;no
42;self-employed;divorced;tertiary;no;yes;no
33;blue-collar;single;tertiary;no;yes;no
36;management;divorced;tertiary;yes;no;yes
55;management;married;tertiary;no;no;no
42;housemaid;married;secondary;no;no;no
36;blue-collar;married;secondary;no;no;no
60;management;married;unknown;no;yes;no
44;management;married;primary;no;no;no
48;blue-collar;single;secondary;no;no;no
50;admin.;single;secondary;no;no;yes
42;housemaid;married;primary;no;yes;no
25;blue-collar;single;primary;no;yes;no
31;technician;married;tertiary;no;yes;no
53;housemaid;married;primary;no;no;no
53;blue-collar;married;secondary;no;no;no
35;admin.;married;secondary;no;yes;no
53;blue-collar;married;secondary;no;no;no
25;entrepreneur;single;tertiary;no;no;no
29;blue-collar;married;secondary;no;yes;yes
57;technician;single;tertiary;no;no;no
49;housemaid;married;primary;no;no;yes
59;technician;married;tertiary;no;no;no
50;blue-collar;married;secondary;no;no;no
46;services;married;secondary;no;no;yes
50;management;married;tertiary;no;no;yes
58;blue-collar;married;secondary;no;yes;no
34;technician;married;secondary;no;no;yes
47;retired;married;primary;no;no;yes
57;retired;married;primary;no;no;no
51;services;married;secondary;no;no;yes
34;admin.;single;secondary;no;no;no
47;technician;married;secondary;no;no;yes
42;self-employed;married;tertiary;no;no;yes
39;services;divorced;secondary;no;yes;yes
47;services;married;secondary;no;yes;yes
46;technician;divorced;secondary;no;no;no
58;blue-collar;divorced;secondary;no;no;no
42;technician;single;secondary;no;no;no
56;housemaid;married;secondary;no;yes;yes
40;blue-collar;divorced;unknown;no;no;yes
31;unemployed;married;secondary;no;no;no
29;blue-collar;divorced;secondary;no;yes;no
42;management;single;tertiary;no;yes;no
43;blue-collar;married;primary;no;no;no
38;services;married;secondary;no;no;no
45;admin.;married;secondary;no;yes;yes
41;blue-collar;married;primary;no;no;no
29;management;single;tertiary;no;yes;no
47;blue-collar;divorced;secondary;yes;no;yes
37;self-employed;single;tertiary;no;no;no
40;technician;married;secondary;no;no;yes
34;unemployed;married;secondary;no;no;yes
50;admin.;married;secondary;no;yes;yes
36;blue-collar;married;secondary;no;yes;no
32;admin.;married;secondary;no;no;yes
27;blue-collar;married;tertiary;no;yes;no
32;admin.;single;tertiary;no;yes;yes
60;retired;divorced;tertiary;no;no;yes
30;technician;married;tertiary;no;yes;yes
52;services;married;secondary;no;no;yes
57;self-employed;married;secondary;no;no;yes
48;blue-collar;married;secondary;no;yes;yes
28;blue-collar;married;primary;no;yes;no
49;technician;divorced;secondary;no;yes;yes
43;services;divorced;tertiary;no;no;yes
28;management;single;tertiary;no;yes;no
44;technician;married;secondary;no;no;yes
36;blue-collar;married;secondary;no;no;yes
42;blue-collar;married;secondary;no;yes;yes
52;admin.;married;secondary;no;no;yes
30;services;single;secondary;no;no;yes
54;services;single;secondary;no;no;no
46;technician;married;tertiary;no;no;no
22;blue-collar;married;secondary;no;yes;no
41;admin.;divorced;secondary;no;no;no
36;blue-collar;single;primary;no;no;no
28;blue-collar;married;secondary;no;yes;no
25;admin.;single;secondary;no;yes;no
51;services;married;secondary;no;no;yes
45;blue-collar;married;primary;no;no;no
26;technician;single;secondary;no;no;yes
55;housemaid;married;primary;no;no;yes
28;admin.;single;secondary;no;no;yes
32;blue-collar;single;secondary;yes;no;no
35;management;married;tertiary;no;yes;no
40;blue-collar;married;secondary;no;yes;no
55;admin.;married;secondary;no;yes;no
55;entrepreneur;married;tertiary;no;no;no
